Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,86.019997,87.139999,85.800003,86.709999,79.595551,93600
2021-03-15,87.519997,88.629997,87.410004,88.500000,81.238678,120900
2021-03-16,87.419998,88.760002,87.250000,88.110001,80.880684,146900
2021-03-17,85.900002,86.690002,85.190002,86.180000,79.109039,120200
2021-03-18,84.010002,84.089996,81.510002,81.559998,74.868095,104300
2021-03-19,80.400002,81.879997,80.230003,81.830002,75.115952,63700
2021-03-22,81.959999,82.190002,81.370003,81.379997,74.702866,88700
2021-03-23,78.699997,79.589996,77.820000,78.000000,71.600189,57400
2021-03-24,80.040001,81.589996,80.040001,80.309998,73.720657,62500
2021-03-25,79.879997,81.040001,79.320000,81.000000,74.354042,41700
2021-03-26,81.940002,82.639999,81.790001,82.559998,75.786049,58200
2021-03-29,81.779999,82.980003,81.260002,82.680000,75.896210,27300
2021-03-30,80.970001,81.510002,80.669998,81.129997,74.473381,37000
2021-03-31,81.129997,81.300003,80.660004,80.790001,74.161278,36900
2021-04-01,80.800003,80.800003,78.879997,79.820000,73.270866,75200
2021-04-05,77.379997,79.570000,77.379997,78.500000,72.059174,47900
2021-04-06,76.639999,77.099998,76.169998,76.169998,69.920341,45200
2021-04-07,76.300003,77.750000,76.300003,77.540001,71.177933,34100
2021-04-08,77.900002,78.080002,77.760002,77.989998,71.591019,35000
2021-04-09,76.559998,76.949997,76.519997,76.849998,70.544548,265000
2021-04-12,77.099998,77.779999,77.099998,77.709999,71.333984,234100
2021-04-13,77.510002,79.680000,77.250000,79.400002,72.885323,52600
2021-04-14,79.459999,81.680000,79.379997,80.699997,74.078659,75500
2021-04-15,79.139999,79.519997,78.870003,79.199997,72.701736,104000
2021-04-16,80.139999,80.199997,79.360001,80.059998,73.491173,63100
2021-04-19,79.379997,79.449997,78.330002,78.739998,72.279472,18800
2021-04-20,77.110001,77.129997,76.000000,76.860001,70.553726,71300
2021-04-21,77.120003,77.650002,76.919998,77.550003,71.187119,43500
2021-04-22,78.860001,80.040001,78.519997,79.440002,72.922043,42000
2021-04-23,79.580002,79.790001,79.220001,79.239998,72.738457,28100
2021-04-26,78.900002,79.059998,78.730003,78.739998,72.279472,54000
2021-04-27,79.000000,79.059998,78.480003,78.830002,72.362091,137500
2021-04-28,78.769997,79.339996,78.480003,79.180000,72.683380,91400
2021-04-29,79.459999,79.690002,79.000000,79.449997,72.931213,104400
2021-04-30,77.040001,77.519997,76.550003,77.239998,70.902550,96600
2021-05-03,77.000000,78.320000,76.879997,77.860001,71.471680,24500
2021-05-04,79.190002,79.870003,78.879997,79.870003,73.316765,32500
2021-05-05,81.779999,82.220001,81.519997,81.589996,74.895630,36200
2021-05-06,82.019997,82.209999,81.639999,81.870003,75.152664,31600
2021-05-07,81.889999,82.800003,81.720001,82.360001,75.602463,36600
2021-05-10,83.519997,83.519997,82.150002,82.260002,75.510666,95800
2021-05-11,80.650002,81.349998,80.389999,81.250000,74.583534,232800
2021-05-12,81.269997,83.290001,81.269997,81.830002,75.115952,90700
2021-05-13,81.500000,82.360001,81.190002,81.650002,74.950714,36400
2021-05-14,81.720001,82.169998,81.599998,82.019997,75.290359,50300
2021-05-17,80.000000,81.040001,79.900002,81.000000,74.354042,50300
2021-05-18,81.349998,81.750000,81.000000,81.449997,74.767128,56600
2021-05-19,79.000000,79.750000,78.279999,79.120003,72.628304,42900
2021-05-20,77.620003,78.050003,77.500000,77.629997,71.260551,88500
2021-05-21,78.669998,79.830002,78.660004,78.870003,72.398811,43100
2021-05-24,78.419998,79.269997,78.419998,79.190002,72.692558,20900
2021-05-25,80.839996,80.900002,80.320000,80.400002,73.803276,52900
2021-05-26,81.519997,82.290001,81.519997,81.669998,74.969070,37300
2021-05-27,81.360001,81.709999,81.080002,81.230003,74.565178,71200
2021-05-28,81.389999,81.720001,81.050003,81.209999,74.546814,74300
2021-06-01,84.180000,84.690002,84.019997,84.300003,77.383286,55700
2021-06-02,85.639999,87.769997,85.639999,87.540001,80.357452,101200
2021-06-03,87.779999,88.680000,87.440002,88.220001,80.981659,138000
2021-06-04,89.510002,89.660004,88.949997,89.169998,81.853706,263900
2021-06-07,89.889999,90.290001,89.419998,90.080002,82.689041,39600
2021-06-08,89.290001,90.000000,89.000000,89.540001,82.193352,210100
2021-06-09,90.900002,91.320000,90.769997,90.879997,83.423401,191700
2021-06-10,91.669998,92.199997,90.970001,91.500000,83.992531,86200
2021-06-11,90.629997,90.639999,89.919998,90.230003,82.826736,61800
2021-06-14,90.139999,90.760002,90.059998,90.269997,82.863449,48400
2021-06-15,89.919998,90.150002,89.599998,90.139999,82.744118,37000
2021-06-16,91.220001,92.199997,90.190002,90.470001,83.047050,120800
2021-06-17,92.940002,93.139999,91.480003,91.919998,84.378075,32600
2021-06-18,91.860001,92.379997,91.269997,91.290001,83.799759,38800
2021-06-21,91.040001,91.489998,90.720001,91.300003,83.808945,38500
2021-06-22,91.220001,92.010002,91.019997,91.989998,84.442322,91900
